epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,507.531,0.65697,7.99851,0.68133,0.36818,0.14161,0.24903,0.146,1.84455,6.21208,1.89298,0.00999519,0.00333173,0.00999519,0.00333173,0.00999519,0.00333173,0.00999519,0.00333173
2,996.295,0.87823,2.37039,0.89366,0.6039,0.16259,0.38049,0.22523,1.98912,5.32608,2.12373,0.0195993,0.0065331,0.0195993,0.0065331,0.0195993,0.0065331,0.0195993,0.0065331
3,1464.72,1.06942,2.46212,1.08116,0.22252,0.58392,0.36242,0.15817,2.3733,4.22853,2.46354,0.0288074,0.00960246,0.0288074,0.00960246,0.0288074,0.00960246,0.0288074,0.00960246
4,1931.44,1.02285,2.23947,1.05344,0.3017,0.65035,0.48718,0.24004,1.94748,4.0632,2.22182,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2398.35,0.92614,1.99674,0.98863,0.2477,0.7535,0.5382,0.29863,1.66444,3.31904,1.9725,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2865.64,0.89902,1.92133,0.96765,0.51783,0.54545,0.52301,0.28129,1.65118,2.78631,1.91335,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3332.9,0.85082,1.75366,0.88796,0.60508,0.51697,0.53415,0.29427,1.54019,2.15026,1.8288,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3798.58,0.75607,1.58002,0.82821,0.65965,0.52273,0.55212,0.3159,1.54277,2.07195,1.82636,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4266.26,0.82701,1.65072,0.89165,0.65739,0.57027,0.59331,0.34484,1.49972,1.95491,1.79163,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4732.81,0.77638,1.53876,0.85834,0.65137,0.59775,0.60444,0.3456,1.47981,1.8723,1.74881,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,5199.71,0.78473,1.47382,0.86219,0.70737,0.59091,0.63406,0.36773,1.45405,1.6953,1.73118,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,5667.9,0.79828,1.5016,0.88276,0.72045,0.58217,0.65491,0.38709,1.44078,1.64063,1.73155,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,6134.74,0.77046,1.43269,0.84503,0.6901,0.63459,0.66878,0.40459,1.43581,1.64386,1.72273,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,6600.97,0.73585,1.33283,0.81108,0.70874,0.64161,0.68502,0.41215,1.42275,1.57728,1.69893,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,7066.44,0.70685,1.23924,0.78686,0.69925,0.65909,0.69539,0.41828,1.42165,1.53442,1.69217,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,7532.09,0.70421,1.30245,0.79532,0.71985,0.66084,0.70437,0.42604,1.42109,1.49983,1.68731,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,7998.12,0.69024,1.27115,0.79583,0.74159,0.65559,0.71654,0.43222,1.42628,1.46316,1.68879,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,8464.41,0.71796,1.23378,0.80507,0.73255,0.67832,0.71991,0.43506,1.42159,1.43744,1.68452,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,8929.5,0.67258,1.17305,0.76525,0.73413,0.69033,0.73115,0.44352,1.4184,1.40851,1.68491,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,9395.27,0.68032,1.13155,0.77746,0.74031,0.69406,0.73904,0.44988,1.41632,1.38578,1.68022,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,9861.3,0.68278,1.13018,0.78186,0.74725,0.69776,0.74936,0.45581,1.41522,1.36335,1.67792,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,10326.4,0.67087,1.09549,0.75526,0.74869,0.69792,0.75571,0.46184,1.40895,1.34262,1.67523,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,10792.7,0.69398,1.15949,0.79713,0.74596,0.6993,0.76159,0.47041,1.40274,1.32223,1.67092,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,11258.3,0.67412,1.06024,0.78862,0.76521,0.6993,0.76969,0.47628,1.39718,1.29811,1.667,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,11723.9,0.67806,1.07506,0.76997,0.76295,0.70896,0.77266,0.47937,1.39165,1.2765,1.66143,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,12189.7,0.66046,1.04528,0.76291,0.76504,0.71155,0.78066,0.48845,1.38849,1.255,1.65582,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
